Week,Date,#,Lecture,Readings,Links,Homework,Discussion,Lab
1,Mon 1/8,1,Introduction,CIT 1.0-1.3,https://inferentialthinking.com/chapters/01/what-is-data-science.html,,Getting Started with Jupyter Notebooks,
,Tue 1/9,,,,,,,
,Wed 1/10,2,Expressions and Data Types,BPD 1-6,https://notes.dsc10.com/01-getting_started/tools.html,,,
,Thu 1/11,,,,,,,
,Fri 1/12,3,"Strings, Lists, and Arrays","BPD 7-8, CIT 14.1","https://notes.dsc10.com/02-data_sets/arrays.html, https://inferentialthinking.com/chapters/14/1/Properties_of_the_Mean.html#",,,
,Sat 1/13,,,,,,,0. Expressions and Data Types
