URI,Album,Song Name,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
4AYtqFyFbX0Xkc2wtcygTr,Lover,Soon You'll Get Better (Ft. The Chicks),1,12,73,False,0.433,0.182,0,-12.565999999999999,1,0.0641,0.907,0.0,0.12300000000000001,0.42100000000000004,207.476,201587,4
6uwfVkaOM1mcMkFmSn35ix,evermore,"no body, no crime (Ft. HAIM)",1,6,73,False,0.546,0.613,7,-7.588999999999999,0,0.0264,0.418,0.0,0.10300000000000001,0.535,79.015,215627,4
5YL553x8sHderRBDlm3NM3,Fearless,White Horse,1,5,73,False,0.423,0.517,0,-7.3770000000000024,1,0.0486,0.369,0.0,0.177,0.366,185.262,234516,4
3Dby3p1m6IOZn2gIIqECgK,evermore,gold rush,1,3,73,True,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,185320,4
6Wlq9rqkxrqj5Kls4Kw14H,evermore,evermore (Ft. Bon Iver),1,15,72,False,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,304107,5
2r9CbjYgFhtAmcFv1cSquB,Red,I Almost Do,1,7,72,False,0.511,0.5589999999999999,4,-6.5870000000000015,1,0.0264,0.0167,0.0,0.113,0.248,145.88,244587,4
32mVHdy0bi1XKgr0ajsBlG,Taylor Swift,Picture To Burn,1,2,72,False,0.6579999999999999,0.877,7,-2.0980000000000003,1,0.0323,0.17300000000000001,0.0,0.0962,0.821,105.586,173067,4
2QDyYdZyhlP2fp79KZX8Bi,folklore,mad woman,1,12,72,True,0.5920000000000001,0.6990000000000001,3,-8.995,1,0.0471,0.655,1.6800000000000002e-05,0.114,0.506,141.916,237258,4
43Ykum9T72UOPhBN31grpN,evermore,ivy,1,10,72,True,0.515,0.545,2,-9.277000000000001,1,0.0353,0.855,1.9699999999999998e-05,0.0921,0.535,88.85600000000002,260440,4
5kiZGSxgqPdv6rbqL9THdd,Midnights,High Infidelity,1,17,72,False,0.6459999999999999,0.529,10,-10.179,1,0.0864,0.723,0.0,0.0885,0.755,87.86200000000002,231475,4
550erGcdD9n6PnwxrvYqZT,Fearless,Hey Stephen,1,4,72,False,0.7879999999999999,0.5710000000000001,6,-6.135,1,0.0296,0.106,0.0,0.0934,0.797,115.99,254255,4
4evLyY5Ue1Wesc61t2KXAU,Speak Now,Superman,1,16,72,False,0.5329999999999999,0.742,7,-3.4730000000000003,1,0.0303,0.0031,0.0,0.10800000000000001,0.35600000000000004,131.93,274945,4
7MbT4I8qGntX4fMdqMQgke,folklore,peace,1,15,72,True,0.647,0.272,5,-12.905999999999999,1,0.0916,0.9179999999999999,1.73e-05,0.0918,0.33899999999999997,150.04399999999995,234000,4
4IQkfUsrwXol38VV3U7t7T,Red,Run (Ft. Ed Sheeran),1,28,72,False,0.61,0.488,3,-6.9179999999999975,1,0.0293,0.8170000000000001,0.0,0.312,0.44299999999999995,125.039,240227,4
7eQj6r5PIdYKEIZjucBMcq,Red,Stay Stay Stay,1,9,71,False,0.693,0.6809999999999999,0,-7.039,1,0.025,0.0848,0.0,0.0768,0.6629999999999999,100.02,205787,4
55Vf4bimc1Rtfg0PAQRAo2,evermore,happiness,1,7,71,True,0.5589999999999999,0.33399999999999996,11,-10.732999999999999,1,0.0376,0.87,0.0,0.114,0.21100000000000002,122.079,315147,4
6MWoRt97mnSTXZhu3ggi9C,folklore,hoax,1,16,71,False,0.662,0.18100000000000002,8,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819,220043,4
3QF5RsWzK1lCvf2o2cY65P,Midnights,Dear Reader,1,20,71,False,0.562,0.38799999999999996,0,-12.088,1,0.0705,0.48100000000000004,0.00145,0.11699999999999999,0.159,107.74700000000001,225194,4
